"","Count","Conclusion","Algorithm","Picture","Page","Speaker","Text","before","after","min_count","max_count","combined"
"76",76,"NoMatch","All","All",11,"Fire","When I see disagreement in multiple areas of the bullet, I identify the bullet as having significant disagreement.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",67,89,"<div class='speech-bubble firearms'><div class='left-text'> When I see disagreement in multiple areas of the bullet, I identify the bullet as having significant disagreement. </div><div class='firearms-image'></div></div><br/>"
"77",77,"All","All","Yes",11,"Fire","Exhibit C shows an image of a comparison microscope, as well an an example of a matching bullet comparison.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",67,89,"<div class='speech-bubble firearms'><div class='left-text'> Exhibit C shows an image of a comparison microscope, as well an an example of a matching bullet comparison. </div><div class='firearms-image'></div></div><br/>"
"78",78,"All","All","Yes",11,"Narrator","<center>---Exhibit C---</center><br/>","","",67,89," <center>---Exhibit C---</center><br/> "
"79",79,"All","All","Yes",11,"Image","<img src='microscope.jpg' alt='microscope' width='50%' class='center'><br/>","","",67,89," <img src='microscope.jpg' alt='microscope' width='50%' class='center'><br/> "
"80",80,"Match","All","All",11,"Pros","Now, are you telling the jury today that in your opinion there's only one gun in the entire world that could have produced the markings that you saw on these bullets?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",67,89,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> Now, are you telling the jury today that in your opinion there's only one gun in the entire world that could have produced the markings that you saw on these bullets? </div> </div> "
"81",81,"Match","All","All",11,"Fire","I'm saying that the probability that the two markings were made by different sources is so small that it is negligible.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",67,89,"<div class='speech-bubble firearms'><div class='left-text'> I'm saying that the probability that the two markings were made by different sources is so small that it is negligible. </div><div class='firearms-image'></div></div><br/>"
"82",82,"Incon","All","All",11,"Pros","Now, are you telling the jury today that when one firearm fires two bullets, the individual markings are so similar that you can say that they were fired from a single gun?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",67,89,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> Now, are you telling the jury today that when one firearm fires two bullets, the individual markings are so similar that you can say that they were fired from a single gun? </div> </div> "
"83",83,"NoMatch","All","All",11,"Pros","Now, are you telling the jury today that when one firearm fires two bullets, the individual markings are so similar that you can say that they were fired from a single gun?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",67,89,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> Now, are you telling the jury today that when one firearm fires two bullets, the individual markings are so similar that you can say that they were fired from a single gun? </div> </div> "
"84",84,"Incon","All","All",11,"Fire","Yes, when there is significant similarity, the likelihood that two different guns could have made the mark is so remote as to be considered a practical impossibility.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",67,89,"<div class='speech-bubble firearms'><div class='left-text'> Yes, when there is significant similarity, the likelihood that two different guns could have made the mark is so remote as to be considered a practical impossibility. </div><div class='firearms-image'></div></div><br/>"
"85",85,"NoMatch","All","All",11,"Fire","Yes, when there is significant similarity, the likelihood that two different guns could have made the mark is so remote as to be considered a practical impossibility.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",67,89,"<div class='speech-bubble firearms'><div class='left-text'> Yes, when there is significant similarity, the likelihood that two different guns could have made the mark is so remote as to be considered a practical impossibility. </div><div class='firearms-image'></div></div><br/>"
"86",86,"Incon","All","All",11,"Pros","So that is not what you observed in this case?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",67,89,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> So that is not what you observed in this case? </div> </div> "
"87",87,"NoMatch","All","All",11,"Pros","So that is not what you observed in this case?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",67,89,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> So that is not what you observed in this case? </div> </div> "
"88",88,"Incon","All","All",11,"Fire","In this case, while the class markings were consistent, there was not significant similarity among the individual characteristics - leading to an inconclusive determination.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",67,89,"<div class='speech-bubble firearms'><div class='left-text'> In this case, while the class markings were consistent, there was not significant similarity among the individual characteristics - leading to an inconclusive determination. </div><div class='firearms-image'></div></div><br/>"
"89",89,"NoMatch","All","All",11,"Fire","In this case, the accidental, random marks on the bullets from the firing process were substantially different - enough so to conclude that the two bullets were likely fired from different guns.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/></div>",67,89,"<div class='speech-bubble firearms'><div class='left-text'> In this case, the accidental, random marks on the bullets from the firing process were substantially different - enough so to conclude that the two bullets were likely fired from different guns. </div><div class='firearms-image'></div></div><br/></div>"
"90",90,"All","Yes","All",12,"Pros","Did you use an algorithm to compare these bullets as well?","<div style='display:grid'><div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",90,111,"<div style='display:grid'><div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> Did you use an algorithm to compare these bullets as well? </div> </div> "
"91",91,"All","Yes","All",12,"Fire","Yes, I used the algorithm to compare the two test fires to each other. I also used the algorithm to compare the better marking test fire to the fired evidence that I received.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",90,111,"<div class='speech-bubble firearms'><div class='left-text'> Yes, I used the algorithm to compare the two test fires to each other. I also used the algorithm to compare the better marking test fire to the fired evidence that I received. </div><div class='firearms-image'></div></div><br/>"
"92",92,"All","Yes","All",12,"Pros","Could you explain how this algorithm compares bullets?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",90,111,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> Could you explain how this algorithm compares bullets? </div> </div> "
"93",93,"All","Yes","All",12,"Fire","The algorithm uses 3D measurements to make a comparison between the surface contours of each of the lands on each bullet. These comparisons result in a match score between 0 and 1, where 1 indicates a clear match, and 0 indicates that there is not a match. The bullet is aligned based on the maximum agreement between the lands, and the average match score for the lands is computed. This average score gives an overall match score for the entire bullet.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",90,111,"<div class='speech-bubble firearms'><div class='left-text'> The algorithm uses 3D measurements to make a comparison between the surface contours of each of the lands on each bullet. These comparisons result in a match score between 0 and 1, where 1 indicates a clear match, and 0 indicates that there is not a match. The bullet is aligned based on the maximum agreement between the lands, and the average match score for the lands is computed. This average score gives an overall match score for the entire bullet. </div><div class='firearms-image'></div></div><br/>"
"94",94,"All","Yes","All",12,"Pros","What was the match score between the two test-fired bullets?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",90,111,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> What was the match score between the two test-fired bullets? </div> </div> "
"95",95,"All","Yes","All",12,"Fire","The match score was 0.976.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",90,111,"<div class='speech-bubble firearms'><div class='left-text'> The match score was 0.976. </div><div class='firearms-image'></div></div><br/>"
"96",96,"All","Yes","Yes",12,"Fire","Exhibit D shows the comparison grid between the two test-fired bullets.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",90,111,"<div class='speech-bubble firearms'><div class='left-text'> Exhibit D shows the comparison grid between the two test-fired bullets. </div><div class='firearms-image'></div></div><br/>"
"97",97,"All","Yes","Yes",12,"Narrator","<center>---Exhibit D---</center><br/>","","",90,111," <center>---Exhibit D---</center><br/> "
"98",98,"All","Yes","Yes",12,"Image","<img src='Test_Fire_F526.jpg' alt='test_fire' style='width: 50%' height='' class='center'><br/>","","",90,111," <img src='Test_Fire_F526.jpg' alt='test_fire' style='width: 50%' height='' class='center'><br/> "
"99",99,"All","Yes","All",12,"Pros","What was the match score between the better-marked test fire bullet and the fired evidence?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",90,111,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> What was the match score between the better-marked test fire bullet and the fired evidence? </div> </div> "
"100",100,"Match","Yes","All",12,"Fire","The match score was 0.989.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",90,111,"<div class='speech-bubble firearms'><div class='left-text'> The match score was 0.989. </div><div class='firearms-image'></div></div><br/>"
"101",101,"NoMatch","Yes","All",12,"Fire","The match score was 0.034.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",90,111,"<div class='speech-bubble firearms'><div class='left-text'> The match score was 0.034. </div><div class='firearms-image'></div></div><br/>"
"102",102,"Incon","Yes","All",12,"Fire","The match score was 0.34.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",90,111,"<div class='speech-bubble firearms'><div class='left-text'> The match score was 0.34. </div><div class='firearms-image'></div></div><br/>"
"103",103,"All","Yes","All",12,"Pros","What does this match score indicate about the bullets?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",90,111,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> What does this match score indicate about the bullets? </div> </div> "
"104",104,"Match","Yes","All",12,"Fire","The match score indicates that there is substantial similarity between the two bullets, which suggests that they were most likely fired from the same barrel.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",90,111,"<div class='speech-bubble firearms'><div class='left-text'> The match score indicates that there is substantial similarity between the two bullets, which suggests that they were most likely fired from the same barrel. </div><div class='firearms-image'></div></div><br/>"
"105",105,"Incon","Yes","All",12,"Fire","The match score indicates that there is not sufficient agreement between the two bullets, which suggests that the results are inconclusive.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",90,111,"<div class='speech-bubble firearms'><div class='left-text'> The match score indicates that there is not sufficient agreement between the two bullets, which suggests that the results are inconclusive. </div><div class='firearms-image'></div></div><br/>"
"106",106,"NoMatch","Yes","All",12,"Fire","The match score indicates that there is significant disagreement between the two bullets.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",90,111,"<div class='speech-bubble firearms'><div class='left-text'> The match score indicates that there is significant disagreement between the two bullets. </div><div class='firearms-image'></div></div><br/>"
"107",107,"All","Yes","Yes",12,"Fire","Exhibit E shows the comparison grid between the test-fired bullet and the fired evidence.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",90,111,"<div class='speech-bubble firearms'><div class='left-text'> Exhibit E shows the comparison grid between the test-fired bullet and the fired evidence. </div><div class='firearms-image'></div></div><br/>"
"108",108,"All","Yes","Yes",12,"Narrator","<center>---Exhibit E---</center><br/>","","",90,111," <center>---Exhibit E---</center><br/> "
"109",109,"Match","Yes","Yes",12,"Image","<img src='F526_Match_SingleGrid.jpg' alt='tree_grid1' style='width: 50%' height='' class='center'><br/>","","",90,111," <img src='F526_Match_SingleGrid.jpg' alt='tree_grid1' style='width: 50%' height='' class='center'><br/> "
"110",110,"Incon","Yes","Yes",12,"Image","<img src='Q774_Inconclusive_SingleGrid.jpg' alt='tree_grid2' style='width: 50%' height='' class='center'><br/>","","",90,111," <img src='Q774_Inconclusive_SingleGrid.jpg' alt='tree_grid2' style='width: 50%' height='' class='center'><br/> "
"111",111,"NoMatch","Yes","Yes",12,"Image","<img src='K995_NoMatch_SingleGrid.jpg' alt='tree_grid3' style='width: 50%' height='' class='center'><br/>","","</div>",90,111," <img src='K995_NoMatch_SingleGrid.jpg' alt='tree_grid3' style='width: 50%' height='' class='center'><br/> </div>"
"112",112,"All","All","All",13,"Pros","How many times have you compared bullets to determine if they were fired from the same gun?","<div style='display:grid'><div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",112,122,"<div style='display:grid'><div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> How many times have you compared bullets to determine if they were fired from the same gun? </div> </div> "
"113",113,"All","All","All",13,"Fire","I'd say thousands.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",112,122,"<div class='speech-bubble firearms'><div class='left-text'> I'd say thousands. </div><div class='firearms-image'></div></div><br/>"
"114",114,"All","All","All",13,"Pros","And do you ever see two bullets that have agreement in every single area of the bullet?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",112,122,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> And do you ever see two bullets that have agreement in every single area of the bullet? </div> </div> "
"115",115,"All","All","All",13,"Fire","No. When firing a firearm there is a dynamic process because it is a contained explosion. When the firing pin hits the primer, which is basically the initiator, what gets it going, it will explode, burn the gun powder inside the casing, and the bullet will travel down the barrel, picking up the microscopic imperfections of the barrel, and the cartridge case will slam rearward against the support mechanism. During that dynamic process, each time it happens, a bullet will be marked slightly differently from one to the next.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",112,122,"<div class='speech-bubble firearms'><div class='left-text'> No. When firing a firearm there is a dynamic process because it is a contained explosion. When the firing pin hits the primer, which is basically the initiator, what gets it going, it will explode, burn the gun powder inside the casing, and the bullet will travel down the barrel, picking up the microscopic imperfections of the barrel, and the cartridge case will slam rearward against the support mechanism. During that dynamic process, each time it happens, a bullet will be marked slightly differently from one to the next. </div><div class='firearms-image'></div></div><br/>"
"116",116,"All","All","All",13,"Pros","When you reached a conclusion, did you write up a report?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",112,122,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> When you reached a conclusion, did you write up a report? </div> </div> "
"117",117,"All","All","All",13,"Fire","Yes, I did.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",112,122,"<div class='speech-bubble firearms'><div class='left-text'> Yes, I did. </div><div class='firearms-image'></div></div><br/>"
"118",118,"All","All","All",13,"Pros","Is it the local police department's protocol to have somebody else who's a firearms tool mark examiner in your lab review that report, review your work, and determine if it's correct? ","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",112,122,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> Is it the local police department's protocol to have somebody else who's a firearms tool mark examiner in your lab review that report, review your work, and determine if it's correct?  </div> </div> "
"119",119,"All","All","All",13,"Fire","Yes.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",112,122,"<div class='speech-bubble firearms'><div class='left-text'> Yes. </div><div class='firearms-image'></div></div><br/>"
"120",120,"All","All","All",13,"Pros","That's what we call peer review?","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> ",112,122,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> That's what we call peer review? </div> </div> "
"121",121,"All","All","All",13,"Fire","Peer review, yes.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",112,122,"<div class='speech-bubble firearms'><div class='left-text'> Peer review, yes. </div><div class='firearms-image'></div></div><br/>"
"122",122,"All","All","All",13,"Pros","Thank you, no further questions.","<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'>","</div> </div> </div>",112,122,"<div class='speech-bubble pros'><div class='pros-image'></div><div class='right-text'> Thank you, no further questions. </div> </div> </div>"
"123",123,"All","All","All",14,"Narrator","<center>---Cross Examination---</center><br/>","<div style='display:grid'>","",123,148,"<div style='display:grid'> <center>---Cross Examination---</center><br/> "
"124",124,"All","All","All",14,"Def","You have a criterion in your head, a subjective criterion, of what will constitute an identification. Is that correct?","<div class='speech-bubble def'><div class='def-image'></div><div class='right-text'>","</div> </div> ",123,148,"<div class='speech-bubble def'><div class='def-image'></div><div class='right-text'> You have a criterion in your head, a subjective criterion, of what will constitute an identification. Is that correct? </div> </div> "
"125",125,"All","All","All",14,"Fire","Yes.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",123,148,"<div class='speech-bubble firearms'><div class='left-text'> Yes. </div><div class='firearms-image'></div></div><br/>"
"126",126,"All","All","All",14,"Def","All right. If we brought three more people in, would their subjective criterion in their head be identical to yours?","<div class='speech-bubble def'><div class='def-image'></div><div class='right-text'>","</div> </div> ",123,148,"<div class='speech-bubble def'><div class='def-image'></div><div class='right-text'> All right. If we brought three more people in, would their subjective criterion in their head be identical to yours? </div> </div> "
"127",127,"All","All","All",14,"Fire","They would look for that same sufficient agreement. However, based on their training and experience on difficult comparisons, they may or may not come to the same decision.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",123,148,"<div class='speech-bubble firearms'><div class='left-text'> They would look for that same sufficient agreement. However, based on their training and experience on difficult comparisons, they may or may not come to the same decision. </div><div class='firearms-image'></div></div><br/>"
"128",128,"All","All","All",14,"Def","Right. But they also could reach the same decision but have a different subjective criterion than you. Is that fair?","<div class='speech-bubble def'><div class='def-image'></div><div class='right-text'>","</div> </div> ",123,148,"<div class='speech-bubble def'><div class='def-image'></div><div class='right-text'> Right. But they also could reach the same decision but have a different subjective criterion than you. Is that fair? </div> </div> "
"129",129,"All","All","All",14,"Fire","They may, possibly. I don't know. I can't speak for other examiners.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",123,148,"<div class='speech-bubble firearms'><div class='left-text'> They may, possibly. I don't know. I can't speak for other examiners. </div><div class='firearms-image'></div></div><br/>"
"130",130,"All","All","All",14,"Def","I understand, but that's the nature of being subjective, right?","<div class='speech-bubble def'><div class='def-image'></div><div class='right-text'>","</div> </div> ",123,148,"<div class='speech-bubble def'><div class='def-image'></div><div class='right-text'> I understand, but that's the nature of being subjective, right? </div> </div> "
"131",131,"All","All","All",14,"Fire","Right.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",123,148,"<div class='speech-bubble firearms'><div class='left-text'> Right. </div><div class='firearms-image'></div></div><br/>"
"132",132,"All","All","All",14,"Def","Is there something fixed about the amount of what has to be found to constitute sufficient agreement?","<div class='speech-bubble def'><div class='def-image'></div><div class='right-text'>","</div> </div> ",123,148,"<div class='speech-bubble def'><div class='def-image'></div><div class='right-text'> Is there something fixed about the amount of what has to be found to constitute sufficient agreement? </div> </div> "
"133",133,"All","No","All",14,"Fire","No, there is not a fixed amount or a numerical value.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",123,148,"<div class='speech-bubble firearms'><div class='left-text'> No, there is not a fixed amount or a numerical value. </div><div class='firearms-image'></div></div><br/>"
"134",134,"Match","Yes","All",14,"Fire","No, there is not a fixed amount or a numerical value for my visual comparison. For the algorithm, however, a score above 0.8 is a general indicator of sufficient agreement.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",123,148,"<div class='speech-bubble firearms'><div class='left-text'> No, there is not a fixed amount or a numerical value for my visual comparison. For the algorithm, however, a score above 0.8 is a general indicator of sufficient agreement. </div><div class='firearms-image'></div></div><br/>"
"135",135,"Incon","Yes","All",14,"Fire","No, there is not a fixed amount or a numerical value for my visual comparison. For the algorithm, however, there is not a firm conclusion associated with values between 0.3 and 0.8.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",123,148,"<div class='speech-bubble firearms'><div class='left-text'> No, there is not a fixed amount or a numerical value for my visual comparison. For the algorithm, however, there is not a firm conclusion associated with values between 0.3 and 0.8. </div><div class='firearms-image'></div></div><br/>"
"136",136,"NoMatch","Yes","All",14,"Fire","No, there is not a fixed amount or a numerical value for my visual comparison. For the algorithm, however, a score below 0.3 is a general indicator of sufficient disagreement.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",123,148,"<div class='speech-bubble firearms'><div class='left-text'> No, there is not a fixed amount or a numerical value for my visual comparison. For the algorithm, however, a score below 0.3 is a general indicator of sufficient disagreement. </div><div class='firearms-image'></div></div><br/>"
"137",137,"All","All","All",14,"Def","You can't tell us anything about who shot the firearm, correct?","<div class='speech-bubble def'><div class='def-image'></div><div class='right-text'>","</div> </div> ",123,148,"<div class='speech-bubble def'><div class='def-image'></div><div class='right-text'> You can't tell us anything about who shot the firearm, correct? </div> </div> "
"138",138,"All","All","All",14,"Fire","That is correct.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",123,148,"<div class='speech-bubble firearms'><div class='left-text'> That is correct. </div><div class='firearms-image'></div></div><br/>"
"139",139,"All","Yes","All",14,"Def","How long did you say you've been trained in the bullet matching algorithm?","<div class='speech-bubble def'><div class='def-image'></div><div class='right-text'>","</div> </div> ",123,148,"<div class='speech-bubble def'><div class='def-image'></div><div class='right-text'> How long did you say you've been trained in the bullet matching algorithm? </div> </div> "
"140",140,"All","Yes","All",14,"Fire","Since January of 2020.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",123,148,"<div class='speech-bubble firearms'><div class='left-text'> Since January of 2020. </div><div class='firearms-image'></div></div><br/>"
"141",141,"All","Yes","All",14,"Def","Okay. So that's fairly new, is that fair to say?","<div class='speech-bubble def'><div class='def-image'></div><div class='right-text'>","</div> </div> ",123,148,"<div class='speech-bubble def'><div class='def-image'></div><div class='right-text'> Okay. So that's fairly new, is that fair to say? </div> </div> "
"142",142,"All","Yes","All",14,"Fire","It is still fairly new, yes.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",123,148,"<div class='speech-bubble firearms'><div class='left-text'> It is still fairly new, yes. </div><div class='firearms-image'></div></div><br/>"
"143",143,"All","Yes","All",14,"Def","The software uses modeling; is that correct?","<div class='speech-bubble def'><div class='def-image'></div><div class='right-text'>","</div> </div> ",123,148,"<div class='speech-bubble def'><div class='def-image'></div><div class='right-text'> The software uses modeling; is that correct? </div> </div> "
"144",144,"All","Yes","All",14,"Fire","Yes, it does.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",123,148,"<div class='speech-bubble firearms'><div class='left-text'> Yes, it does. </div><div class='firearms-image'></div></div><br/>"
"145",145,"All","Yes","All",14,"Def","You, personally, don't know the source code; is that correct?","<div class='speech-bubble def'><div class='def-image'></div><div class='right-text'>","</div> </div> ",123,148,"<div class='speech-bubble def'><div class='def-image'></div><div class='right-text'> You, personally, don't know the source code; is that correct? </div> </div> "
"146",146,"All","Yes","All",14,"Fire","That's correct.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",123,148,"<div class='speech-bubble firearms'><div class='left-text'> That's correct. </div><div class='firearms-image'></div></div><br/>"
"147",147,"All","Yes","All",14,"Def","And, in fact, you, personally, would not be able to tell us the specific math that goes into this program; is that fair to say?","<div class='speech-bubble def'><div class='def-image'></div><div class='right-text'>","</div> </div> ",123,148,"<div class='speech-bubble def'><div class='def-image'></div><div class='right-text'> And, in fact, you, personally, would not be able to tell us the specific math that goes into this program; is that fair to say? </div> </div> "
"148",148,"All","Yes","All",14,"Fire","We did receive training on what the math is doing in general terms, but I am not a statistician, and would prefer to let them speak to that.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/></div>",123,148,"<div class='speech-bubble firearms'><div class='left-text'> We did receive training on what the math is doing in general terms, but I am not a statistician, and would prefer to let them speak to that. </div><div class='firearms-image'></div></div><br/></div>"
"149",149,"All","All","All",15,"Narrator","<center>---Questions Submitted By the Jury---</center><br/>","<div style='display:grid'>","",149,155,"<div style='display:grid'> <center>---Questions Submitted By the Jury---</center><br/> "
"150",150,"Match","All","All",15,"Court","Terry Smith, the jury has asked me to forward this question to you. Answer if you're able. To what percentage is the science accurate is the first question. And then I think the rest of that explanation of that question goes on to say, to determine that the bullets were fired from the same firearm, are you 100 percent sure? ","<div class='speech-bubble court'><div class='court-image'></div><div class='right-text'>","</div> </div> ",149,155,"<div class='speech-bubble court'><div class='court-image'></div><div class='right-text'> Terry Smith, the jury has asked me to forward this question to you. Answer if you're able. To what percentage is the science accurate is the first question. And then I think the rest of that explanation of that question goes on to say, to determine that the bullets were fired from the same firearm, are you 100 percent sure?  </div> </div> "
"151",151,"Match","All","All",15,"Fire","My opinion, I am 100 percent sure that these bullets were fired from this firearm. There is a published error rate for firearms examiners. The false positive identification rate is less than two percent. I believe it's about 1.5 to 1.9. That's just a general number that's out there.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",149,155,"<div class='speech-bubble firearms'><div class='left-text'> My opinion, I am 100 percent sure that these bullets were fired from this firearm. There is a published error rate for firearms examiners. The false positive identification rate is less than two percent. I believe it's about 1.5 to 1.9. That's just a general number that's out there. </div><div class='firearms-image'></div></div><br/>"
"152",152,"Incon","All","All",15,"Court","Terry Smith, the jury has asked me to forward this question to you. Answer if you're able. To what percentage is the science accurate is the first question. And then I think the rest of that explanation of that question goes on to say, to determine that the bullets were inconclusive, are you 100 percent sure?","<div class='speech-bubble court'><div class='court-image'></div><div class='right-text'>","</div> </div> ",149,155,"<div class='speech-bubble court'><div class='court-image'></div><div class='right-text'> Terry Smith, the jury has asked me to forward this question to you. Answer if you're able. To what percentage is the science accurate is the first question. And then I think the rest of that explanation of that question goes on to say, to determine that the bullets were inconclusive, are you 100 percent sure? </div> </div> "
"153",153,"Incon","All","All",15,"Fire","My opinion, I am 100 percent sure that there is not enough identifying information to make a different conclusion. There is a published error rate for firearms examiners. The false positive identification rate is less than two percent. I believe it's about 1.5 to 1.9. That's just a general number that's out there.","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/>",149,155,"<div class='speech-bubble firearms'><div class='left-text'> My opinion, I am 100 percent sure that there is not enough identifying information to make a different conclusion. There is a published error rate for firearms examiners. The false positive identification rate is less than two percent. I believe it's about 1.5 to 1.9. That's just a general number that's out there. </div><div class='firearms-image'></div></div><br/>"
"154",154,"NoMatch","All","All",15,"Court","Terry Smith, the jury has asked me to forward this question to you. Answer if you're able. To what percentage is the science accurate is the first question. And then I think the rest of that explanation of that question goes on to say, to determine that the bullets were fired from a different firearm, are you 100 percent sure?","<div class='speech-bubble court'><div class='court-image'></div><div class='right-text'>","</div> </div> ",149,155,"<div class='speech-bubble court'><div class='court-image'></div><div class='right-text'> Terry Smith, the jury has asked me to forward this question to you. Answer if you're able. To what percentage is the science accurate is the first question. And then I think the rest of that explanation of that question goes on to say, to determine that the bullets were fired from a different firearm, are you 100 percent sure? </div> </div> "
"155",155,"NoMatch","All","All",15,"Fire","My opinion, I am 100 percent sure that these bullets were fired from different firearms. There is a published error rate for firearms examiners. The false negative identification rate is less than three percent. I believe it's about 2.5 to 2.9. That's just a general number that's out there","<div class='speech-bubble firearms'><div class='left-text'>","</div><div class='firearms-image'></div></div><br/></div>",149,155,"<div class='speech-bubble firearms'><div class='left-text'> My opinion, I am 100 percent sure that these bullets were fired from different firearms. There is a published error rate for firearms examiners. The false negative identification rate is less than three percent. I believe it's about 2.5 to 2.9. That's just a general number that's out there </div><div class='firearms-image'></div></div><br/></div>"
"156",156,"All","Yes","All",16,"Narrator","You will now read a transcript of testimony given by Adrian Jones at trial.","<div style='display:grid'>","</div>",156,156,"<div style='display:grid'> You will now read a transcript of testimony given by Adrian Jones at trial. </div>"
